user_id,apartment_id,viewed_at,is_wishlisted,call_to_action
4772,5668637952,2024-05-30 00:17:17,y,reported
4169,5509086939,2024-05-30 00:24:15,n,contact_agent
975,5664578623,2024-05-30 00:25:47,n,shortlisted
358,5668226553,2024-05-30 00:35:54,y,shortlisted
3807,5664574892,2024-05-30 00:40:10,n,contact_agent
4179,5668622603,2024-05-30 00:50:20,n,reported
4519,5648115378,2024-05-30 00:52:07,y,contact_agent
154,5668618171,2024-05-30 00:58:08,y,shortlisted
4975,5664578321,2024-05-30 01:01:30,y,shortlisted
1830,5668625064,2024-05-30 01:04:29,n,shortlisted
11,5509237213,2024-05-30 01:05:17,n,contact_agent
1005,5664569671,2024-05-30 01:15:37,y,reported
2913,5508865798,2024-05-30 01:16:19,y,shortlisted
1403,5668636169,2024-05-30 01:24:24,n,shortlisted
427,5664597854,2024-05-30 01:24:58,n,shortlisted
681,5668227007,2024-05-30 01:28:05,n,shortlisted
688,5668624110,2024-05-30 01:30:23,y,reported
1443,5661947593,2024-05-30 01:37:56,y,contact_agent
3877,5659917394,2024-05-30 01:42:42,y,contact_agent
3572,5668620515,2024-05-30 01:43:46,y,reported
908,5509245994,2024-05-30 01:47:19,n,shortlisted
1742,5508821440,2024-05-30 01:50:39,y,shortlisted
207,5668611399,2024-05-30 01:55:47,y,contact_agent
1084,5664596546,2024-05-30 01:56:20,y,shortlisted
765,5668635814,2024-05-30 01:58:25,y,shortlisted
2925,5508726086,2024-05-30 01:59:40,n,shortlisted
3075,5668632906,2024-05-30 02:02:15,n,shortlisted
1140,5668636298,2024-05-30 02:16:30,y,reported
2829,5668629613,2024-05-30 02:17:46,y,shortlisted
904,5668617702,2024-05-30 02:23:36,y,reported
1320,5668251138,2024-05-30 02:25:46,n,reported
1800,5509157205,2024-05-30 02:40:09,y,contact_agent
3087,5668616656,2024-05-30 02:49:26,y,contact_agent
1481,5668630981,2024-05-30 02:59:00,n,shortlisted
3509,5659918990,2024-05-30 02:59:53,n,shortlisted
